alpha,kpd,quantity,method,Q
0.5,5,eta22,VWA,0.639599345166766
0.5,5,eta22,Walker,0.565349222824701
0.5,5,eta22,NLS,0.688909726865088
0.5,5,eta22,Creamer,0.636973529893736
0.5,5,phi22,VWA,0.6009558355194
0.758620689655172,5,eta22,VWA,0.513095978267858
0.758620689655172,5,eta22,Walker,0.455761892823631
0.758620689655172,5,eta22,NLS,0.560201277640201
0.758620689655172,5,eta22,Creamer,0.51195668598658
0.758620689655172,5,phi22,VWA,0.474330228324005
1,5,eta22,VWA,0.430083281922667
1,5,eta22,Walker,0.38708425087025
1,5,eta22,NLS,0.472094432781698
1,5,eta22,Creamer,0.429913982879446
1,5,phi22,VWA,0.39557046723525
1.01724137931034,5,eta22,VWA,0.425017013267812
1.01724137931034,5,eta22,Walker,0.382954163331743
1.01724137931034,5,eta22,NLS,0.466719668940929
1.01724137931034,5,eta22,Creamer,0.424902486105443
1.01724137931034,5,phi22,VWA,0.390829166389972
1.27586206896552,5,eta22,VWA,0.359184633412273
1.27586206896552,5,eta22,Walker,0.329850288910349
1.27586206896552,5,eta22,NLS,0.396565979804362
1.27586206896552,5,eta22,Creamer,0.359777019035962
1.27586206896552,5,phi22,VWA,0.329688086426706
1.53448275862069,5,eta22,VWA,0.30808025669081
1.53448275862069,5,eta22,Walker,0.289222418237111
1.53448275862069,5,eta22,NLS,0.341657723720555
1.53448275862069,5,eta22,Creamer,0.309164640487968
1.53448275862069,5,phi22,VWA,0.282692306245464
1.79310344827586,5,eta22,VWA,0.267393715175748
1.79310344827586,5,eta22,Walker,0.257166308283422
1.79310344827586,5,eta22,NLS,0.298255686605122
1.79310344827586,5,eta22,Creamer,0.268835301529946
1.79310344827586,5,phi22,VWA,0.245500126867106
2.05172413793103,5,eta22,VWA,0.234381108597704
2.05172413793103,5,eta22,Walker,0.231297674790156
2.05172413793103,5,eta22,NLS,0.262878991519495
2.05172413793103,5,eta22,Creamer,0.236105069280881
2.05172413793103,5,phi22,VWA,0.215440957346869
2.31034482758621,5,eta22,VWA,0.207275844966536
2.31034482758621,5,eta22,Walker,0.209986643976657
2.31034482758621,5,eta22,NLS,0.233727746469119
2.31034482758621,5,eta22,Creamer,0.209113699443442
2.31034482758621,5,phi22,VWA,0.190751464716293
2.56896551724138,5,eta22,VWA,0.184511871829264
2.56896551724138,5,eta22,Walker,0.192354834739026
2.56896551724138,5,eta22,NLS,0.209291914428368
2.56896551724138,5,eta22,Creamer,0.186641049126587
2.56896551724138,5,phi22,VWA,0.170207514067998
2.82758620689655,5,eta22,VWA,0.165428000422725
2.82758620689655,5,eta22,Walker,0.177428657546766
2.82758620689655,5,eta22,NLS,0.18841439901637
2.82758620689655,5,eta22,Creamer,0.167669411979159
2.82758620689655,5,phi22,VWA,0.152927444940685
3.08620689655172,5,eta22,VWA,0.149102528760769
3.08620689655172,5,eta22,Walker,0.16481860491951
3.08620689655172,5,eta22,NLS,0.170555330730981
3.08620689655172,5,eta22,Creamer,0.151565988612643
3.08620689655172,5,phi22,VWA,0.138260970325334
