x_over_lambda,eta22_exact_norm,eta22_vwa_norm,eta22_walker_norm
-4.44444444444444,5.48095762196673e-06,5.41746578413006e-06,4.43396480753957e-06
-4.44333319442708,5.48068859776535e-06,5.41720133954183e-06,4.43377901817557e-06
-4.44222194440972,5.47988153589069e-06,5.41640801843835e-06,4.43322165325958e-06
-4.44111069439235,5.47853646755873e-06,5.41508585814165e-06,4.43229272232564e-06
-4.43999944437499,5.47665344507828e-06,5.41323492130831e-06,4.43099224126656e-06
-4.43888819435763,5.47423254170155e-06,5.41085529525227e-06,4.42932023235385e-06
-4.43777694434027,5.47127385192215e-06,5.40794709264329e-06,4.42727672424793e-06
-4.4366656943229,5.46777749078661e-06,5.4045104508849e-06,4.42486175201796e-06
-4.43555444430554,5.4637435948194e-06,5.40054553281498e-06,4.42207535717981e-06
-4.43444319428817,5.45917232134161e-06,5.39605252579705e-06,4.41891758770885e-06
-4.43333194427081,5.45406384934165e-06,5.39103164301565e-06,4.41538849808728e-06
-4.43222069425345,5.44841837868943e-06,5.38548312208673e-06,4.411488149341e-06
-4.43110944423609,5.44223613059943e-06,5.37940722648916e-06,4.40721660908382e-06
-4.42999819421872,5.43551734790902e-06,5.37280424443705e-06,4.40257395156696e-06
-4.42888694420136,5.42826229513219e-06,5.36567448972301e-06,4.39756025773048e-06
-4.427775694184,5.42047125809438e-06,5.35801830111868e-06,4.39217561526575e-06
-4.42666444416663,5.41214454459425e-06,5.34983604323929e-06,4.38642011867447e-06
-4.42555319414927,5.40328248428992e-06,5.34112810581625e-06,4.38029386934146e-06
-4.42444194413191,5.39388542892182e-06,5.33189490421612e-06,4.37379697560256e-06
-4.42333069411454,5.38395375233146e-06,5.32213687920975e-06,4.3669295528224e-06
-4.42221944409718,5.37348785064504e-06,5.31185449748968e-06,4.35969172347794e-06
-4.42110819407982,5.36248814260842e-06,5.30104825113749e-06,4.35208361724078e-06
-4.41999694406245,5.35095506941371e-06,5.28971865824885e-06,4.34410537107271e-06
-4.41888569404509,5.33888909550702e-06,5.27786626275394e-06,4.3357571293192e-06
-4.41777444402773,5.32629070773579e-06,5.26549163448989e-06,4.32703904380551e-06
-4.41666319401036,5.31316041645651e-06,5.25259536920276e-06,4.3179512739457e-06
-4.415551943993,5.29949875551693e-06,5.23917808901141e-06,4.30849398684756e-06
-4.41444069397564,5.28530628221524e-06,5.225240442268e-06,4.29866735743282e-06
-4.41332944395827,5.2705835775432e-06,5.21078310326554e-06,4.28847156854484e-06
-4.41221819394091,5.25533124666248e-06,5.19580677323428e-06,4.27790681107805e-06
